sat_id,x,y,z,Vx,Vy,Vz
290,99.92209406384156,99.96140140359068,99.91037738700385,99.94049847126041,99.95016333195925,99.95650760257125
291,99.8690022047162,99.7204852882972,99.80416192821681,99.59214745237142,99.39792170448908,99.58961305163221
292,99.92210776813157,99.93470428788407,99.92243281144574,99.0799509260192,98.46639413433986,99.264532632259
293,99.96094976849827,99.92517331166594,98.67891136422604,99.79860568278599,99.83122897376293,99.8518565251346
294,99.9345269437088,99.89663379376276,99.93408334814482,99.38919863890034,99.16464682166063,98.8613665863759
295,99.93959785182358,99.92000416751681,99.84187542698177,99.9751944097931,99.91433033356483,99.76984691529962
296,99.27267142937123,99.27726460035895,99.43606218219225,98.07393391759271,98.65400271476989,97.45376541885351
297,99.99363805456079,99.99332293685093,99.97056650540857,99.99426277331942,99.9944513454255,99.98520477304295
298,99.99143096782873,99.97070566851242,99.92899245767165,99.98616451567746,99.98227209417298,99.98926850658825
299,99.9708184480631,99.99403800895715,99.9930965386018,99.99440636190367,99.98755019940843,99.98768674966534
300,99.82908867893453,99.77964721309075,99.40794596411989,99.84599283901876,99.82622085064367,99.86152597392459
301,99.35758989323895,97.38714107640841,98.99060607493712,97.97939924839213,98.4862875882188,98.36664196390392
302,99.99518762042992,99.99355002568399,99.98533979326871,99.98354900867696,99.9815824053526,99.99206462529492
303,99.97002488347316,99.97844635309033,99.95897618908643,99.98134783987207,99.89879743770292,99.97863396328846
